k,n_ann,minority,delta,rep,simulation,method,stat,pvalue,detected
3,9,0.3333333333333333,0.0,8,unidirectional,chi-squared (Akhtar et al. 2019),10.577934715083494,0.22677929350506698,0
3,9,0.3333333333333333,0.0,8,unidirectional,GMM clustering (Checco/Mignemi),-0.05,1.0,0
3,9,0.3333333333333333,0.0,8,bidirectional,apunim,-0.06861002488446527,0.0029694525298295067,1
3,9,0.3333333333333333,0.0,8,bidirectional,Krippendorff delta-alpha,-0.023992748526200963,0.9104477611940298,0
3,9,0.3333333333333333,0.0,8,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,8,bidirectional,chi-squared (Akhtar et al. 2019),2.8750911839332556,0.9419498629268783,0
3,9,0.3333333333333333,0.0,8,bidirectional,GMM clustering (Checco/Mignemi),0.0,1.0,0
3,9,0.3333333333333333,0.0,9,unidirectional,apunim,-0.05555555555555561,0.029501474229808346,1
3,9,0.3333333333333333,0.0,9,unidirectional,Krippendorff delta-alpha,-0.013964509846560872,0.7711442786069652,0
3,9,0.3333333333333333,0.0,9,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,9,unidirectional,chi-squared (Akhtar et al. 2019),6.121584816458538,0.6336146156860287,0
3,9,0.3333333333333333,0.0,9,unidirectional,GMM clustering (Checco/Mignemi),-0.05,1.0,0
3,9,0.3333333333333333,0.0,9,bidirectional,apunim,-0.09882847702012654,5.515013223400834e-05,1
3,9,0.3333333333333333,0.0,9,bidirectional,Krippendorff delta-alpha,0.020439572663957427,0.15422885572139303,0
3,9,0.3333333333333333,0.0,9,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,9,bidirectional,chi-squared (Akhtar et al. 2019),5.153339508965513,0.741068350750915,0
3,9,0.3333333333333333,0.0,9,bidirectional,GMM clustering (Checco/Mignemi),0.0,1.0,0
3,9,0.3333333333333333,0.0,10,unidirectional,apunim,-0.03717967708487635,0.5678110314228044,0
3,9,0.3333333333333333,0.0,10,unidirectional,Krippendorff delta-alpha,0.011869627264979497,0.24378109452736318,0
3,9,0.3333333333333333,0.0,10,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,10,unidirectional,chi-squared (Akhtar et al. 2019),4.337838436189183,0.8254290886642113,0
3,9,0.3333333333333333,0.0,10,unidirectional,GMM clustering (Checco/Mignemi),0.0,1.0,0
3,9,0.3333333333333333,0.0,10,bidirectional,apunim,0.11364736805699666,1.3186933437008608e-07,1
3,9,0.3333333333333333,0.0,10,bidirectional,Krippendorff delta-alpha,0.03902212770333576,0.06467661691542288,0
3,9,0.3333333333333333,0.0,10,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,10,bidirectional,chi-squared (Akhtar et al. 2019),3.0832808457094893,0.9290229357172132,0
3,9,0.3333333333333333,0.0,10,bidirectional,GMM clustering (Checco/Mignemi),-0.11764705882352941,1.0,0
3,9,0.3333333333333333,0.0,11,unidirectional,apunim,0.060429982568274254,0.02999286390426521,1
3,9,0.3333333333333333,0.0,11,unidirectional,Krippendorff delta-alpha,0.006961222455901472,0.4427860696517413,0
3,9,0.3333333333333333,0.0,11,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,11,unidirectional,chi-squared (Akhtar et al. 2019),5.4097714566844575,0.7130147397421754,0
3,9,0.3333333333333333,0.0,11,unidirectional,GMM clustering (Checco/Mignemi),0.0,1.0,0
3,9,0.3333333333333333,0.0,11,bidirectional,apunim,0.05558982795256704,0.036664559802538625,1
3,9,0.3333333333333333,0.0,11,bidirectional,Krippendorff delta-alpha,0.03554007798490488,0.04975124378109453,1
3,9,0.3333333333333333,0.0,11,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
3,9,0.3333333333333333,0.0,11,bidirectional,chi-squared (Akhtar et al. 2019),13.622022336071009,0.09216496240543505,0
3,9,0.3333333333333333,0.0,11,bidirectional,GMM clustering (Checco/Mignemi),0.0,1.0,0
3,9,0.3333333333333333,0.0,12,unidirectional,apunim,-0.08484676503972767,0.0004305483367153758,1
3,9,0.3333333333333333,0.0,12,unidirectional,Krippendorff delta-alpha,-0.028785260685028513,0.9054726368159204,0
3,9,0.3333333333333333,0.0,12,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
