n_ann,minority,delta,rep,simulation,method,stat,pvalue,detected
80,0.5,0.0,10,unidirectional,Krippendorff delta-alpha,0.00031589509420221207,0.43781094527363185,0
80,0.5,0.0,10,unidirectional,aposteriori unimodality (2024),0.006097560975609756,0.40594059405940597,0
80,0.5,0.0,10,unidirectional,chi-squared (Akhtar et al. 2019),2.7372232763458535,0.6027169102739307,0
80,0.5,0.0,10,unidirectional,GMM clustering (Checco/Mignemi),0.038522862934564014,0.07960199004975124,0
80,0.5,0.0,10,bidirectional,apunim,0.036263084129632715,5.08503885332075e-05,1
80,0.5,0.0,10,bidirectional,Krippendorff delta-alpha,0.0009743059300682533,0.2537313432835821,0
80,0.5,0.0,10,bidirectional,aposteriori unimodality (2024),0.012048192771084338,0.06930693069306931,0
80,0.5,0.0,10,bidirectional,chi-squared (Akhtar et al. 2019),5.961299268699859,0.20205716962806367,0
80,0.5,0.0,10,bidirectional,GMM clustering (Checco/Mignemi),0.009999679497452004,0.263681592039801,0
80,0.5,0.0,11,unidirectional,apunim,-0.023520344166016963,0.027438551715369703,1
80,0.5,0.0,11,unidirectional,Krippendorff delta-alpha,-0.00043623006123383323,0.5771144278606966,0
80,0.5,0.0,11,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,11,unidirectional,chi-squared (Akhtar et al. 2019),6.575756641367892,0.16007924997611858,0
80,0.5,0.0,11,unidirectional,GMM clustering (Checco/Mignemi),-0.011653220642847996,1.0,0
80,0.5,0.0,11,bidirectional,apunim,0.010131656208544088,0.4794585612435126,0
80,0.5,0.0,11,bidirectional,Krippendorff delta-alpha,-4.396699163988771e-05,0.527363184079602,0
80,0.5,0.0,11,bidirectional,aposteriori unimodality (2024),0.011695906432748537,0.21782178217821782,0
80,0.5,0.0,11,bidirectional,chi-squared (Akhtar et al. 2019),0.7712181080085525,0.9422644975622424,0
80,0.5,0.0,11,bidirectional,GMM clustering (Checco/Mignemi),-0.008704278536913182,0.8258706467661692,0
80,0.5,0.0,12,unidirectional,apunim,-0.01608787414096457,0.1053023752615948,0
80,0.5,0.0,12,unidirectional,Krippendorff delta-alpha,-0.0012448777728700233,0.8606965174129353,0
80,0.5,0.0,12,unidirectional,aposteriori unimodality (2024),0.006172839506172839,0.37623762376237624,0
80,0.5,0.0,12,unidirectional,chi-squared (Akhtar et al. 2019),5.444955355584304,0.24461048547615924,0
80,0.5,0.0,12,unidirectional,GMM clustering (Checco/Mignemi),0.01858244759669681,0.21393034825870647,0
80,0.5,0.0,12,bidirectional,apunim,0.003187642775533333,1.0,0
80,0.5,0.0,12,bidirectional,Krippendorff delta-alpha,-0.0012269636863456723,0.8606965174129353,0
80,0.5,0.0,12,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,12,bidirectional,chi-squared (Akhtar et al. 2019),6.844877761752283,0.1443163442343389,0
80,0.5,0.0,12,bidirectional,GMM clustering (Checco/Mignemi),0.0072130153436156036,0.22885572139303484,0
80,0.5,0.0,13,unidirectional,apunim,-0.018778603765403485,0.06913486404515817,0
80,0.5,0.0,13,unidirectional,Krippendorff delta-alpha,0.0008259752757657224,0.21393034825870647,0
80,0.5,0.0,13,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,13,unidirectional,chi-squared (Akhtar et al. 2019),1.6935932503940931,0.7918810871507074,0
80,0.5,0.0,13,unidirectional,GMM clustering (Checco/Mignemi),-0.010197883699370225,1.0,0
80,0.5,0.0,13,bidirectional,apunim,-0.03007295361074568,0.0011987763731226484,1
80,0.5,0.0,13,bidirectional,Krippendorff delta-alpha,-0.0016637642507313366,0.9203980099502488,0
80,0.5,0.0,13,bidirectional,aposteriori unimodality (2024),0.0058823529411764705,0.5247524752475248,0
