,SDB Feature,Value,apunim,pvalue,support,Model,Prompt
26,Gender,man,-0.05751905751905764,0.8299783634448035,42,qwen32b,default
27,Gender,nonBinary,0.030927835051546507,0.8299783634448035,13,qwen32b,default
28,Gender,woman,-0.039030159668835045,0.8299783634448035,37,qwen32b,default
29,Age,1) Gen. X+,-0.00044756079367426585,0.9322251754628456,76,qwen7b,default
30,Age,2) Millennial,0.0841283607979184,0.77411808073154,74,qwen7b,default
31,Age,3) Gen. Z,0.021291327678725942,0.9322251754628456,65,qwen7b,default
32,Ethnicity,black,0.0,,3,qwen7b,default
33,Ethnicity,hisp,0.0,,9,qwen7b,default
34,Ethnicity,middleEastern,0.0,,15,qwen7b,default
35,Ethnicity,other,0.0,,6,qwen7b,default
36,Ethnicity,white,0.0,0.8081093668207038,17,qwen7b,default
37,Gender,man,-0.07702634670246693,0.5255807141218692,61,qwen7b,default
38,Gender,nonBinary,-0.01928465468930262,0.844905705552579,67,qwen7b,default
39,Gender,woman,0.07506601282534903,0.5255807141218692,86,qwen7b,default
40,Age,1) Gen. X+,0.022146507666098825,0.7734822924150558,41,llama70b,stereotype
41,Age,2) Millennial,-0.09066595346349278,0.3127604792932965,34,llama70b,stereotype
42,Age,3) Gen. Z,0.036269430051813385,0.7734822924150558,24,llama70b,stereotype
43,Ethnicity,black,0.03703703703703701,0.6668350203941811,18,llama70b,stereotype
44,Ethnicity,hisp,0.0,,6,llama70b,stereotype
45,Ethnicity,middleEastern,0.0,,9,llama70b,stereotype
46,Ethnicity,other,-0.11894273127753287,0.5599164363859143,14,llama70b,stereotype
47,Ethnicity,white,2.854859206178974e-16,0.6668350203941811,11,llama70b,stereotype
48,Gender,man,-0.05982905982905962,0.7910691405619241,44,llama70b,stereotype
49,Gender,nonBinary,0.03800140745953567,0.7910691405619241,30,llama70b,stereotype
50,Gender,woman,0.10003437607425282,0.7910691405619241,44,llama70b,stereotype
51,Age,1) Gen. X+,0.048864758144126344,0.697781841634304,95,olmo32b,stereotype
52,Age,2) Millennial,-0.007257862684574736,0.9609237197343241,143,olmo32b,stereotype
53,Age,3) Gen. Z,-0.17860151642796968,0.27651430748927563,84,olmo32b,stereotype
54,Ethnicity,black,0.027667984189723337,0.9482461887847459,36,olmo32b,stereotype
55,Ethnicity,hisp,0.0,0.9482461887847459,16,olmo32b,stereotype
56,Ethnicity,middleEastern,0.05660377358490546,0.9482461887847459,32,olmo32b,stereotype
57,Ethnicity,other,-0.020674646354733307,0.9482461887847459,32,olmo32b,stereotype
58,Ethnicity,white,2.2204460492503136e-16,0.9482461887847459,13,olmo32b,stereotype
59,Gender,man,0.021116288291860887,0.7512999994974053,125,olmo32b,stereotype
60,Gender,nonBinary,-0.06909391808026466,0.653403236163166,79,olmo32b,stereotype
61,Gender,woman,0.09281862049389729,0.653403236163166,91,olmo32b,stereotype
62,Age,1) Gen. X+,0.05207785376117847,0.7207188573506431,17,qwen32b,stereotype
63,Age,2) Millennial,-0.06542056074766342,0.7207188573506431,30,qwen32b,stereotype
64,Age,3) Gen. Z,-0.07866761162296228,0.7207188573506431,19,qwen32b,stereotype
65,Ethnicity,black,0.0,,6,qwen32b,stereotype
66,Ethnicity,hisp,0.0,,3,qwen32b,stereotype
67,Ethnicity,middleEastern,0.0,,3,qwen32b,stereotype
68,Ethnicity,other,1.9032394707859828e-16,0.9096655293982665,7,qwen32b,stereotype
69,Ethnicity,white,0.0,,3,qwen32b,stereotype
70,Gender,man,-0.025423728813559227,0.9646697056232394,30,qwen32b,stereotype
71,Gender,nonBinary,0.14613180515759316,0.39962210591162717,17,qwen32b,stereotype
72,Gender,woman,2.854859206178974e-16,0.9646697056232394,11,qwen32b,stereotype
73,Age,1) Gen. X+,0.002927463948823617,0.9873746346908385,105,qwen7b,stereotype
74,Age,2) Millennial,-0.0037149611617694886,0.9873746346908385,97,qwen7b,stereotype
75,Age,3) Gen. Z,0.014231964665467214,0.9873746346908385,67,qwen7b,stereotype
76,Ethnicity,black,0.055139550714772105,0.628011105115246,28,qwen7b,stereotype
77,Ethnicity,hisp,0.0,,15,qwen7b,stereotype
78,Ethnicity,middleEastern,-0.03225806451612903,0.628011105115246,18,qwen7b,stereotype
79,Ethnicity,other,0.08391608391608399,0.628011105115246,32,qwen7b,stereotype
80,Ethnicity,white,3.3306690738754706e-16,0.6990896263009625,17,qwen7b,stereotype
81,Gender,man,0.019332161687170453,0.794361253252895,105,qwen7b,stereotype
82,Gender,nonBinary,0.05042016806722692,0.794361253252895,58,qwen7b,stereotype
83,Gender,woman,-0.03298450125844482,0.794361253252895,89,qwen7b,stereotype
84,Age,1) Gen. X+,-0.010931806350858938,0.9128056277633895,23,llama70b,persona
85,Age,2) Millennial,0.05729877216916802,0.9128056277633895,43,llama70b,persona
86,Age,3) Gen. Z,-0.0654205607476634,0.9128056277633895,30,llama70b,persona
87,Ethnicity,black,0.15473441108545033,0.23841294550316225,12,llama70b,persona
88,Ethnicity,hisp,0.0,,15,llama70b,persona
89,Ethnicity,middleEastern,0.0,,3,llama70b,persona
90,Ethnicity,other,-0.06487434248977202,0.6677392366371796,16,llama70b,persona
91,Ethnicity,white,1.9032394707859828e-16,0.9096655293982665,7,llama70b,persona
92,Gender,man,-0.0017113519680546697,0.9770088029116619,38,llama70b,persona
93,Gender,nonBinary,-0.01845883387049489,0.9770088029116619,37,llama70b,persona
94,Gender,woman,-0.015219337511190685,0.9770088029116619,41,llama70b,persona
95,Age,1) Gen. X+,0.03137710633352685,0.8252885680206707,91,olmo32b,persona
96,Age,2) Millennial,0.010973379394431939,0.8252885680206707,122,olmo32b,persona
97,Age,3) Gen. Z,0.053621825023518574,0.8252885680206707,57,olmo32b,persona
98,Ethnicity,black,0.0695187165775403,0.9394610148546674,19,olmo32b,persona
99,Ethnicity,hisp,0.098901098901099,0.9394610148546674,15,olmo32b,persona
100,Ethnicity,middleEastern,-0.044707680550248034,0.9394610148546674,29,olmo32b,persona
101,Ethnicity,other,-0.0604026845637583,0.9394610148546674,24,olmo32b,persona
102,Ethnicity,white,9.516197353929914e-17,0.9394610148546674,15,olmo32b,persona
103,Gender,man,0.06502242152466371,0.6500282860620858,120,olmo32b,persona
104,Gender,nonBinary,0.08916938110749179,0.6500282860620858,82,olmo32b,persona
105,Gender,woman,0.03073920468406943,0.6500282860620858,91,olmo32b,persona
106,Age,1) Gen. X+,-0.04563077840739638,0.8562778900933647,39,qwen32b,persona
107,Age,2) Millennial,-0.029126213592233052,0.8562778900933647,29,qwen32b,persona
108,Age,3) Gen. Z,0.20689655172413826,0.8562778900933647,12,qwen32b,persona
109,Ethnicity,black,0.0,0.9435276693230454,13,qwen32b,persona
110,Ethnicity,hisp,2.2204460492503146e-16,0.9435276693230454,6,qwen32b,persona
