Dataset,Model,PC Dimension,F,p_raw,n_prompts_compared,n_total_obs,cohens_d_stereotype_vs_default,cohens_d_persona_vs_default,cohens_d_single_vs_default,cohens_d_direct_vs_default,p_corrected,reject_null
Kumar et al. 2021,olmo32b,Age: 3) 35 - 44,10.643364914246607,1.4721744164086313e-08,5,2748,-0.017653670712015117,0.1727225623863486,0.3300849177521168,0.15633142168107939,4.03375790095965e-06,True
Kumar et al. 2021,olmo32b,Age: 4) 45 - 54,9.100029779298483,2.665292789721806e-07,5,2744,0.1444814015273054,0.23880004583864414,0.36931039525053794,0.21714927671256873,6.743190757996169e-05,True
Kumar et al. 2021,olmo32b,Age: 5) 55 - 64,6.2620671029766255,5.164703999450213e-05,5,2739,0.044429833346092504,0.17052509161429547,0.27536409823087415,0.16633563278025382,0.008648926061126914,True
Kumar et al. 2021,olmo32b,Age: 6) 65 or older,8.625764219434055,6.425446908088921e-07,5,2944,0.001441457302389731,0.1823337234759774,0.28446432564864016,0.17292386944214544,0.00015164054703089853,True
Kumar et al. 2021,olmo32b,Age: Prefer not to say,8.79750025376387,4.698426749155833e-07,5,2710,-0.019194659573694917,0.111362343847479,0.3073312572886229,0.13586253136401852,0.00011417177000448674,True
Kumar et al. 2021,olmo32b,Age: Under 18,4.798453264048361,0.0007398314276453682,5,2733,0.009792613594667874,0.14017202509700952,0.21592343109472031,0.15569217851324427,0.09146292970673327,False
Kumar et al. 2021,olmo32b,Education: 1) No high school,6.2417498316428555,5.391118302118508e-05,5,2452,-0.05837767579179748,0.12689122183479792,0.2276675162720312,0.13713448477890638,0.008841434015474353,True
Kumar et al. 2021,olmo32b,Education: 2) High School graduate,4.259094873489704,0.0019498347906211912,5,2288,0.11041306706905368,0.18419232629475235,0.2770941794118247,0.1558497545530455,0.18718413989963437,False
Kumar et al. 2021,olmo32b,"Education: 3) College, no degree",7.1814489749908725,9.629809069810631e-06,5,2220,0.026446318760877233,0.18371671854387897,0.3191402521228271,0.17605959533974894,0.0018489233414036412,True
Kumar et al. 2021,olmo32b,Education: 4) Associate degree,10.095874927797585,4.219411618135964e-08,5,2327,0.09608133807289682,0.2878246332083789,0.3903275572747702,0.21647956217520067,1.1265829020423024e-05,True
Kumar et al. 2021,olmo32b,Education: 5) Bachelor's degree,12.455706498806567,4.997606675945825e-10,5,2359,-0.014102461018896525,0.1575011407557272,0.391745470604824,0.17390262398822876,1.4043274759407768e-07,True
Kumar et al. 2021,olmo32b,Education: 6) Master's degree,4.793600152085711,0.0007496817203106686,5,2344,0.01636107086062066,0.1597284409229139,0.24433978848088994,0.15534417034636372,0.09146292970673327,False
Kumar et al. 2021,olmo32b,Education: 7) Professional degree,4.257732658497065,0.0019527197668871058,5,2378,0.042440301229890086,0.20353696309877536,0.2150492876906491,0.1404118496549273,0.18718413989963437,False
Kumar et al. 2021,olmo32b,Education: 8) Doctoral degree,7.672946412275452,3.864836127879966e-06,5,2324,-0.015258061675503472,0.18246604754762233,0.2539390241192216,0.2360712182790151,0.0008154804229826728,True
Kumar et al. 2021,olmo32b,Education: Other,5.094728864325647,0.00043564805212316767,5,2372,0.0012532773308991318,0.09513237995764552,0.263975985614093,0.12838433000108684,0.058376838984504464,False
Kumar et al. 2021,olmo32b,Education: Prefer not to say,6.287456893286101,4.9509760721854456e-05,5,2515,0.029980842643664452,0.1593059637537571,0.2799692909946249,0.17367536564964955,0.008416659322715257,True
Kumar et al. 2021,olmo32b,Ethnicity: Asian,6.053431122991977,7.535284623964777e-05,5,3063,0.05644879498177152,0.18469788259171607,0.2570193317976444,0.14813452342731273,0.012207161090822939,True
Kumar et al. 2021,olmo32b,Ethnicity: Black,8.27106337802522,1.2473233235316291e-06,5,2903,0.05518177050074853,0.214168202954724,0.3046389104432218,0.17941512497491768,0.00028438971776521143,True
Kumar et al. 2021,olmo32b,Ethnicity: Hispanic,8.39977703100049,9.7694792327439e-07,5,3054,-0.015326505476521968,0.14496178629493034,0.28097083702569625,0.11597969963730682,0.0002256749702763841,True
Kumar et al. 2021,olmo32b,Ethnicity: Multiracial,8.29423274619777,1.191151338273618e-06,5,3007,0.03919708328243842,0.1740346278483557,0.3047198413115837,0.17151026420803417,0.0002739648078029321,True
Kumar et al. 2021,olmo32b,Ethnicity: Other,7.6509077628838345,3.9397991134056615e-06,5,3089,0.034543435822416535,0.1596434394094828,0.2888359880539069,0.16873710480792328,0.0008273578138151889,True
Kumar et al. 2021,olmo32b,Ethnicity: Unknown,7.984676217650426,2.121578850591988e-06,5,2999,-0.024776940154002343,0.19716137753893273,0.23090156027313918,0.13749599500525847,0.00046462576827964534,True
Kumar et al. 2021,olmo32b,Ethnicity: White,7.878866389087627,2.5797452065906614e-06,5,3061,-0.014167027319733568,0.13828610337245323,0.25725788473371775,0.16290168512509048,0.0005546452194169922,True
Kumar et al. 2021,olmo32b,Gender: Female,13.311185567059308,8.852498238444774e-11,5,4183,0.024852151086133915,0.18466657584581728,0.31992945421673863,0.16311127385123544,2.54066699443365e-08,True
Kumar et al. 2021,olmo32b,Gender: Male,11.750536614966357,1.7227182194683315e-09,5,4097,0.052889870567997384,0.1793269809248667,0.31909639774284404,0.17107750974077482,4.789156650121962e-07,True
Kumar et al. 2021,olmo32b,Gender: Nonbinary,13.826622260343342,3.3417988766987695e-11,5,4008,-0.006685435530792307,0.19644222988883453,0.3056253695963633,0.1564696725515305,9.657798753659444e-09,True
Kumar et al. 2021,olmo32b,Gender: Unknown,7.9090213834275795,2.3944693950107846e-06,5,4124,0.01683786690786266,0.1431932796631591,0.2440269060036609,0.1380672594153967,0.0005172053893223294,True
Kumar et al. 2021,olmo32b,Has Been Targeted: False,12.703144155958332,2.755782237037252e-10,5,4920,0.022726318029975913,0.17005267924909803,0.28454041545878395,0.1558778624159132,7.826421553185796e-08,True
Kumar et al. 2021,olmo32b,Has Been Targeted: True,12.805104492868665,2.2710872529583183e-10,5,4889,0.019810206607377905,0.17158904874283762,0.283810205601451,0.15434048682104698,6.472598670931207e-08,True
Kumar et al. 2021,olmo32b,Is Parent: No,12.218622422236319,7.000520039612571e-10,5,4513,0.021102359443141427,0.17210150750740083,0.29239544073326706,0.14702515393661159,1.9531450910519074e-07,True
Kumar et al. 2021,olmo32b,Is Parent: Prefer not to say,13.054065008330031,1.425968514674844e-10,5,4568,0.016534204463387894,0.1665113356273656,0.3008750354045586,0.14158968127451324,4.078269951970054e-08,True
Kumar et al. 2021,olmo32b,Is Parent: Yes,13.36267317827153,7.941338240006406e-11,5,4488,0.02191981905471338,0.1619991397878823,0.3068199353426397,0.18287895984328323,2.2871054131218447e-08,True
