Dataset,Model,PC Dimension,F,p_raw,n_prompts_compared,n_total_obs,cohens_d_stereotype_vs_default,cohens_d_persona_vs_default,cohens_d_single_vs_default,cohens_d_direct_vs_default,p_corrected,reject_null
Kumar et al. 2021,olmo32b,Education: 2) High School graduate,4.259094873489707,0.0019498347906235156,5,2288,0.11041306706905368,0.18419232629475235,0.2770941794118247,0.1558497545530455,0.19108380948110454,False
Kumar et al. 2021,olmo32b,"Education: 3) College, no degree",7.181448974990875,9.629809069806501e-06,5,2220,0.026446318760877233,0.18371671854387897,0.3191402521228271,0.17605959533974894,0.0018489233414028482,True
Kumar et al. 2021,olmo32b,Education: 4) Associate degree,10.095874927797572,4.219411618133467e-08,5,2327,0.09608133807289682,0.2878246332083789,0.3903275572747702,0.21647956217520067,1.1308023136597692e-05,True
Kumar et al. 2021,olmo32b,Education: 5) Bachelor's degree,12.45570649880657,4.997606675943957e-10,5,2359,-0.014102461018896525,0.1575011407557272,0.391745470604824,0.17390262398822876,1.429315509319972e-07,True
Kumar et al. 2021,olmo32b,Education: 6) Master's degree,4.793600152085711,0.0007496817203120269,5,2344,0.01636107086062066,0.1597284409229139,0.24433978848088994,0.15534417034636372,0.09146292970693791,False
Kumar et al. 2021,olmo32b,Education: 7) Professional degree,4.257732658497065,0.0019527197668891257,5,2378,0.042440301229890086,0.20353696309877536,0.2150492876906491,0.1404118496549273,0.19108380948110454,False
Kumar et al. 2021,olmo32b,Education: 8) Doctoral degree,7.672946412275462,3.864836127883616e-06,5,2324,-0.015258061675503472,0.18246604754762233,0.2539390241192216,0.2360712182790151,0.000815480422983443,True
Kumar et al. 2021,olmo32b,Education: Other,5.094728864325658,0.00043564805212367025,5,2372,0.0012532773308991318,0.09513237995764552,0.263975985614093,0.12838433000108684,0.05837683898457181,False
Kumar et al. 2021,olmo32b,Education: Prefer not to say,6.287456893286108,4.950976072181762e-05,5,2515,0.029980842643664452,0.1593059637537571,0.2799692909946249,0.17367536564964955,0.008416659322708995,True
Kumar et al. 2021,olmo32b,Ethnicity: Asian,6.053431122991984,7.535284623973049e-05,5,3063,0.05644879498177152,0.18469788259171607,0.2570193317976444,0.14813452342731273,0.01220716109083634,True
Kumar et al. 2021,olmo32b,Ethnicity: Black,8.271063378025222,1.2473233235295062e-06,5,2903,0.05518177050074853,0.214168202954724,0.3046389104432218,0.17941512497491768,0.00028438971776472745,True
Kumar et al. 2021,olmo32b,Ethnicity: Hispanic,8.399777031000479,9.7694792327452e-07,5,3054,-0.015326505476521968,0.14496178629493034,0.28097083702569625,0.11597969963730682,0.00022567497027641413,True
Kumar et al. 2021,olmo32b,Ethnicity: Multiracial,8.29423274619776,1.1911513382747985e-06,5,3007,0.03919708328243842,0.1740346278483557,0.3047198413115837,0.17151026420803417,0.00027396480780320364,True
Kumar et al. 2021,olmo32b,Ethnicity: Other,7.650907762883831,3.939799113416649e-06,5,3089,0.034543435822416535,0.1596434394094828,0.2888359880539069,0.16873710480792328,0.0008273578138174963,True
Kumar et al. 2021,olmo32b,Ethnicity: Unknown,7.98467621765043,2.1215788505874193e-06,5,2999,-0.024776940154002343,0.19716137753893273,0.23090156027313918,0.13749599500525847,0.00046462576827864484,True
Kumar et al. 2021,olmo32b,Ethnicity: White,7.878866389087618,2.579745206592337e-06,5,3061,-0.014167027319733568,0.13828610337245323,0.25725788473371775,0.16290168512509048,0.0005546452194173524,True
Kumar et al. 2021,olmo32b,Gender: Female,13.311185567059344,8.852498238443262e-11,5,4183,0.024852151086133915,0.18466657584581728,0.31992945421673863,0.16311127385123544,2.6203394785792055e-08,True
Kumar et al. 2021,olmo32b,Gender: Male,11.750536614966347,1.7227182194686179e-09,5,4097,0.052889870567997384,0.1793269809248667,0.31909639774284404,0.17107750974077482,4.840838196706817e-07,True
Kumar et al. 2021,olmo32b,Gender: Nonbinary,13.826622260343331,3.341798876699705e-11,5,4008,-0.006685435530792307,0.19644222988883453,0.3056253695963633,0.1564696725515305,9.958560652565122e-09,True
Kumar et al. 2021,olmo32b,Gender: Unknown,7.909021383427582,2.394469395009853e-06,5,4124,0.01683786690786266,0.1431932796631591,0.2440269060036609,0.1380672594153967,0.0005172053893221282,True
Kumar et al. 2021,olmo32b,Has Been Targeted: False,12.703144155958345,2.7557822370285765e-10,5,4920,0.022726318029975913,0.17005267924909803,0.28454041545878395,0.1558778624159132,7.964210665012586e-08,True
Kumar et al. 2021,olmo32b,Has Been Targeted: True,12.80510449286868,2.271087252962763e-10,5,4889,0.019810206607377905,0.17158904874283762,0.283810205601451,0.15434048682104698,6.631574778651269e-08,True
Kumar et al. 2021,olmo32b,Is Parent: No,12.21862242223632,7.000520039592681e-10,5,4513,0.021102359443141427,0.17210150750740083,0.29239544073326706,0.14702515393661159,1.9881476912443216e-07,True
